gymName,url,facilities,imagery,cta,facilitiesEvidence,imageryEvidence,ctaEvidence
"Chester Fitness & Wellbeing Gym
                      Chester","https://www.nuffieldhealth.com/gyms/chester",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Chesterfield Fitness & Wellbeing Gym
                      Chesterfield","https://www.nuffieldhealth.com/gyms/chesterfield",Pass,Pass,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, spin, exercise classes, personal training, pt); facilities section=true","Imagery looks strong: 8 relevant images detected, with modern delivery signals (0 modern-format assets and 8 lazy-loaded images).","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Chichester Fitness & Wellbeing Gym
                      Chichester","https://www.nuffieldhealth.com/gyms/chichester",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, spa, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Chigwell Fitness & Wellbeing Gym
                      Chigwell","https://www.nuffieldhealth.com/gyms/chigwell",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, studio, spin, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Chingford Fitness & Wellbeing Gym
                      Chingford","https://www.nuffieldhealth.com/gyms/chingford",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, spin); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Chislehurst Fitness & Wellbeing Gym
                      Chislehurst","https://www.nuffieldhealth.com/gyms/chislehurst",Pass,Fail,Pass,"10 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=true; online-signal href=true"
"City Fitness & Wellbeing Gym
                      City","https://www.nuffieldhealth.com/gyms/city",Pass,Pass,Pass,"13 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 15 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Cottingley Fitness & Wellbeing Gym
                      Cottingley","https://www.nuffieldhealth.com/gyms/cottingley",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Covent Garden Fitness & Wellbeing Gym
                      Covent Garden","https://www.nuffieldhealth.com/gyms/covent-garden",Pass,Fail,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, studio, studios, group exercise); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Crawley Fitness & Wellbeing Gym
                      Crawley","https://www.nuffieldhealth.com/gyms/crawley",Pass,Fail,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
